,Rake Num,Start Station,Start Time,End Station,End Time,Direction,service time,Same Jurisdiction,Step Back Rake,Step Back Location,mergedRakeNum1,mergedRakeNum2
473,715,MUPR,04:08,KKDA UP,04:23,UP,15,yes,No StepBack,No StepBack,43,None
15,703,KKDA UP,04:08,PBGW,05:13,UP,65,no,No StepBack,No StepBack,34,35
439,718,IPE,04:10,KKDA DN,04:16,DN,6,yes,No StepBack,No StepBack,68,None
16,702,PBGW,04:14,KKDA DN,05:20,DN,66,no,No StepBack,No StepBack,132,133
474,716,KJKS/SVVR,04:15,MUPR,04:23,UP,8,yes,No StepBack,No StepBack,52,None
475,717,MUPR,04:16,KJKS/SVVR,04:23,DN,7,yes,No StepBack,No StepBack,60,None
476,718,KKDA DN,04:16,MUPR,04:31,DN,15,yes,No StepBack,No StepBack,69,None
477,716,MUPR,04:23,KKDA UP,04:38,UP,15,yes,No StepBack,No StepBack,53,None
17,715,KKDA UP,04:23,PBGW,05:29,UP,66,no,No StepBack,No StepBack,44,45
18,701,PBGW,04:29,KKDA DN,05:35,DN,66,no,No StepBack,No StepBack,142,143
478,717,KJKS/SVVR,04:30,MUPR,04:38,UP,8,yes,No StepBack,No StepBack,62,None
440,713,MKPR,04:30,PBGW,04:44,DN,14,yes,No StepBack,No StepBack,151,None
479,718,MUPR,04:31,KJKS/SVVR,04:38,DN,7,yes,No StepBack,No StepBack,70,None
480,710,KKDA DN,04:35,MUPR,04:50,DN,15,yes,No StepBack,No StepBack,96,None
482,717,MUPR,04:38,KKDA UP,04:53,UP,15,yes,No StepBack,No StepBack,63,None
481,709,KKDA DN,04:38,MUPR,04:52,DN,14,yes,No StepBack,No StepBack,84,None
19,716,KKDA UP,04:38,PBGW,05:44,UP,66,no,No StepBack,No StepBack,54,55
228,707,PBGW,04:40,PBGW,05:14,UP,34,yes,No StepBack,No StepBack,8,172
229,706,PBGW,04:44,PBGW,05:29,UP,45,yes,No StepBack,No StepBack,16,190
20,713,PBGW,04:44,KKDA DN,05:50,DN,66,no,No StepBack,No StepBack,152,153
483,718,KJKS/SVVR,04:45,MUPR,04:53,UP,8,yes,No StepBack,No StepBack,72,None
441,714,MKPR,04:45,PBGW,04:59,DN,14,yes,No StepBack,No StepBack,162,None
485,711,KKDA DN,04:50,MUPR,05:05,DN,15,yes,No StepBack,No StepBack,108,None
484,710,MUPR,04:50,KJKS/SVVR,04:57,DN,7,yes,No StepBack,No StepBack,97,None
486,709,MUPR,04:52,KJKS/SVVR,04:56,DN,4,yes,No StepBack,No StepBack,85,None
21,717,KKDA UP,04:53,PBGW,05:58,UP,65,no,No StepBack,No StepBack,64,65
487,718,MUPR,04:53,KKDA UP,05:08,UP,15,yes,No StepBack,No StepBack,73,None
230,708,PBGW,04:59,PBGW,05:44,UP,45,yes,No StepBack,No StepBack,26,199
22,714,PBGW,04:59,KKDA DN,06:06,DN,67,no,No StepBack,No StepBack,163,164
488,709,KJKS/SVVR,05:00,MUPR,05:08,UP,8,yes,No StepBack,No StepBack,87,None
489,712,KKDA DN,05:05,MUPR,05:20,DN,15,yes,No StepBack,No StepBack,123,None
490,711,MUPR,05:05,KJKS/SVVR,05:12,DN,7,yes,No StepBack,No StepBack,109,None
491,709,MUPR,05:08,KKDA UP,05:23,UP,15,yes,No StepBack,No StepBack,88,None
23,718,KKDA UP,05:08,PBGW,06:14,UP,66,no,No StepBack,No StepBack,74,75
231,703,PBGW,05:13,PBGW,05:59,UP,46,yes,No StepBack,No StepBack,36,208
24,707,PBGW,05:14,KKDA DN,06:17,DN,63,no,No StepBack,No StepBack,173,174
492,710,KJKS/SVVR,05:15,MUPR,05:23,UP,8,yes,No StepBack,No StepBack,99,None
494,712,MUPR,05:20,KJKS/SVVR,05:27,DN,7,yes,No StepBack,No StepBack,124,None
442,719,IPE,05:20,PBGW,06:19,UP,59,no,No StepBack,No StepBack,78,None
493,702,KKDA DN,05:20,MUPR,05:35,DN,15,yes,No StepBack,No StepBack,134,None
25,709,KKDA UP,05:23,PBGW,06:27,UP,64,no,No StepBack,No StepBack,89,90
495,710,MUPR,05:23,KKDA UP,05:38,UP,15,yes,No StepBack,No StepBack,100,None
26,706,PBGW,05:29,KKDA DN,06:35,DN,66,no,No StepBack,No StepBack,191,192
232,715,PBGW,05:29,PBGW,06:14,UP,45,yes,No StepBack,No StepBack,46,217
496,711,KJKS/SVVR,05:30,MUPR,05:38,UP,8,yes,No StepBack,No StepBack,111,None
334,701,KKDA DN,05:35,KKDA UP,06:15,DN,40,yes,No StepBack,No StepBack,144,146
497,702,MUPR,05:35,KJKS/SVVR,05:42,DN,7,yes,No StepBack,No StepBack,135,None
27,710,KKDA UP,05:38,PBGW,06:42,UP,64,no,No StepBack,No StepBack,101,102
498,711,MUPR,05:38,KKDA UP,05:53,UP,15,yes,No StepBack,No StepBack,112,None
28,708,PBGW,05:44,KKDA DN,06:45,DN,61,no,No StepBack,No StepBack,200,201
233,716,PBGW,05:44,PBGW,06:24,UP,40,yes,No StepBack,No StepBack,56,226
499,712,KJKS/SVVR,05:45,MUPR,05:53,UP,8,yes,No StepBack,No StepBack,126,None
335,713,KKDA DN,05:50,KKDA UP,06:27,DN,37,yes,No StepBack,No StepBack,154,157
29,711,KKDA UP,05:53,PBGW,06:54,UP,61,no,No StepBack,No StepBack,113,114
500,712,MUPR,05:53,KKDA UP,06:08,UP,15,yes,No StepBack,No StepBack,127,None
234,717,PBGW,05:58,PBGW,06:35,UP,37,yes,No StepBack,No StepBack,66,235
30,703,PBGW,05:59,KKDA DN,07:00,DN,61,no,No StepBack,No StepBack,209,210
501,702,KJKS/SVVR,06:00,MUPR,06:08,UP,8,yes,No StepBack,No StepBack,136,None
443,720,IPE,06:05,PBGW,07:02,UP,57,no,No StepBack,No StepBack,117,None
336,714,KKDA DN,06:06,KKDA UP,06:40,DN,34,yes,No StepBack,No StepBack,165,168
502,702,MUPR,06:08,KKDA UP,06:23,UP,15,yes,No StepBack,No StepBack,137,None
31,712,KKDA UP,06:08,PBGW,07:14,UP,66,no,No StepBack,No StepBack,128,129
32,715,PBGW,06:14,KKDA DN,07:20,DN,66,no,No StepBack,No StepBack,218,219
235,718,PBGW,06:14,PBGW,06:45,UP,31,yes,No StepBack,No StepBack,76,244
33,701,KKDA UP,06:15,PBGW,07:21,UP,66,no,No StepBack,No StepBack,147,148
337,707,KKDA DN,06:17,KKDA UP,06:52,DN,35,yes,No StepBack,No StepBack,175,177
236,719,PBGW,06:19,PBGW,06:55,UP,36,yes,No StepBack,No StepBack,79,253
444,721,IPE,06:20,KKDA DN,06:26,DN,6,yes,No StepBack,No StepBack,182,None
34,702,KKDA UP,06:23,PBGW,07:29,UP,66,no,No StepBack,No StepBack,138,139
35,716,PBGW,06:24,KKDA DN,07:30,DN,66,no,No StepBack,No StepBack,227,228
338,721,KKDA DN,06:26,KKDA UP,07:05,DN,39,yes,No StepBack,No StepBack,183,186
237,709,PBGW,06:27,PBGW,07:06,UP,39,yes,No StepBack,No StepBack,91,262
36,713,KKDA UP,06:27,PBGW,07:34,UP,67,no,No StepBack,No StepBack,158,159
339,706,KKDA DN,06:35,KKDA UP,07:17,DN,42,yes,No StepBack,No StepBack,193,195
37,717,PBGW,06:35,KKDA DN,07:41,DN,66,no,No StepBack,No StepBack,236,237
38,714,KKDA UP,06:40,PBGW,07:46,UP,66,no,No StepBack,No StepBack,169,170
238,710,PBGW,06:42,PBGW,07:16,UP,34,yes,No StepBack,No StepBack,103,271
340,708,KKDA DN,06:45,KKDA UP,07:30,DN,45,yes,No StepBack,No StepBack,202,204
39,718,PBGW,06:45,KKDA DN,07:51,DN,66,no,No StepBack,No StepBack,245,246
40,707,KKDA UP,06:52,PBGW,07:59,UP,67,no,No StepBack,No StepBack,178,179
239,711,PBGW,06:54,PBGW,07:26,UP,32,yes,No StepBack,No StepBack,115,280
41,719,PBGW,06:55,KKDA DN,08:01,DN,66,no,No StepBack,No StepBack,254,255
341,703,KKDA DN,07:00,KKDA UP,07:42,DN,42,yes,No StepBack,No StepBack,211,213
240,720,PBGW,07:02,PBGW,07:37,UP,35,yes,No StepBack,No StepBack,118,289
42,721,KKDA UP,07:05,PBGW,08:11,UP,66,no,No StepBack,No StepBack,187,188
43,709,PBGW,07:06,KKDA DN,08:12,DN,66,no,No StepBack,No StepBack,263,264
241,712,PBGW,07:14,PBGW,07:47,UP,33,yes,No StepBack,No StepBack,130,298
44,710,PBGW,07:16,KKDA DN,08:22,DN,66,no,No StepBack,No StepBack,272,273
45,706,KKDA UP,07:17,PBGW,08:24,UP,67,no,No StepBack,No StepBack,196,197
342,715,KKDA DN,07:20,KKDA UP,07:53,DN,33,yes,No StepBack,No StepBack,220,222
242,701,PBGW,07:21,PBGW,07:57,UP,36,yes,No StepBack,No StepBack,149,307
46,711,PBGW,07:26,KKDA DN,08:32,DN,66,no,No StepBack,No StepBack,281,282
243,702,PBGW,07:29,PBGW,08:08,UP,39,yes,No StepBack,No StepBack,140,316
343,716,KKDA DN,07:30,KKDA UP,08:03,DN,33,yes,No StepBack,No StepBack,229,231
47,708,KKDA UP,07:30,PBGW,08:36,UP,66,no,No StepBack,No StepBack,205,206
244,713,PBGW,07:34,PBGW,08:18,UP,44,yes,No StepBack,No StepBack,160,325
48,720,PBGW,07:37,KKDA DN,08:43,DN,66,no,No StepBack,No StepBack,290,291
344,717,KKDA DN,07:41,KKDA UP,08:13,DN,32,yes,No StepBack,No StepBack,238,240
49,703,KKDA UP,07:42,PBGW,08:49,UP,67,no,No StepBack,No StepBack,214,215
245,714,PBGW,07:46,PBGW,08:28,UP,42,yes,No StepBack,No StepBack,171,334
50,712,PBGW,07:47,KKDA DN,08:53,DN,66,no,No StepBack,No StepBack,299,300
345,718,KKDA DN,07:51,KKDA UP,08:24,DN,33,yes,No StepBack,No StepBack,247,249
51,715,KKDA UP,07:53,PBGW,08:59,UP,66,no,No StepBack,No StepBack,223,224
52,701,PBGW,07:57,KKDA DN,09:03,DN,66,no,No StepBack,No StepBack,308,309
246,707,PBGW,07:59,PBGW,08:39,UP,40,yes,No StepBack,No StepBack,180,343
346,719,KKDA DN,08:01,KKDA UP,08:34,DN,33,yes,No StepBack,No StepBack,256,258
53,716,KKDA UP,08:03,PBGW,09:09,UP,66,no,No StepBack,No StepBack,232,233
54,702,PBGW,08:08,KKDA DN,09:14,DN,66,no,No StepBack,No StepBack,317,318
247,721,PBGW,08:11,PBGW,08:49,UP,38,yes,No StepBack,No StepBack,189,352
347,709,KKDA DN,08:12,KKDA UP,08:44,DN,32,yes,No StepBack,No StepBack,265,267
55,717,KKDA UP,08:13,PBGW,09:20,UP,67,no,No StepBack,No StepBack,241,242
56,713,PBGW,08:18,KKDA DN,09:24,DN,66,no,No StepBack,No StepBack,326,327
348,710,KKDA DN,08:22,KKDA UP,08:55,DN,33,yes,No StepBack,No StepBack,274,276
248,706,PBGW,08:24,PBGW,08:59,UP,35,yes,No StepBack,No StepBack,198,361
57,718,KKDA UP,08:24,PBGW,09:30,UP,66,no,No StepBack,No StepBack,250,251
58,714,PBGW,08:28,KKDA DN,09:34,DN,66,no,No StepBack,No StepBack,335,336
349,711,KKDA DN,08:32,KKDA UP,09:05,DN,33,yes,No StepBack,No StepBack,283,285
59,719,KKDA UP,08:34,PBGW,09:40,UP,66,no,No StepBack,No StepBack,259,260
249,708,PBGW,08:36,PBGW,09:10,UP,34,yes,No StepBack,No StepBack,207,370
60,707,PBGW,08:39,KKDA DN,09:45,DN,66,no,No StepBack,No StepBack,344,345
350,720,KKDA DN,08:43,KKDA UP,09:15,DN,32,yes,No StepBack,No StepBack,292,294
61,709,KKDA UP,08:44,PBGW,09:51,UP,67,no,No StepBack,No StepBack,268,269
250,703,PBGW,08:49,PBGW,09:20,UP,31,yes,No StepBack,No StepBack,216,379
62,721,PBGW,08:49,KKDA DN,09:55,DN,66,no,No StepBack,No StepBack,353,354
351,712,KKDA DN,08:53,KKDA UP,09:26,DN,33,yes,No StepBack,No StepBack,301,303
63,710,KKDA UP,08:55,PBGW,10:01,UP,66,no,No StepBack,No StepBack,277,278
251,715,PBGW,08:59,PBGW,09:30,UP,31,yes,No StepBack,No StepBack,225,388
64,706,PBGW,08:59,KKDA DN,10:05,DN,66,no,No StepBack,No StepBack,362,363
352,701,KKDA DN,09:03,KKDA UP,09:36,DN,33,yes,No StepBack,No StepBack,310,312
65,711,KKDA UP,09:05,PBGW,10:11,UP,66,no,No StepBack,No StepBack,286,287
252,716,PBGW,09:09,PBGW,09:41,UP,32,yes,No StepBack,No StepBack,234,397
66,708,PBGW,09:10,KKDA DN,10:16,DN,66,no,No StepBack,No StepBack,371,372
353,702,KKDA DN,09:14,KKDA UP,09:46,DN,32,yes,No StepBack,No StepBack,319,321
67,720,KKDA UP,09:15,PBGW,10:22,UP,67,no,No StepBack,No StepBack,295,296
253,717,PBGW,09:20,PBGW,09:51,UP,31,yes,No StepBack,No StepBack,243,406
68,703,PBGW,09:20,KKDA DN,10:26,DN,66,no,No StepBack,No StepBack,380,381
354,713,KKDA DN,09:24,KKDA UP,09:57,DN,33,yes,No StepBack,No StepBack,328,330
69,712,KKDA UP,09:26,PBGW,10:32,UP,66,no,No StepBack,No StepBack,304,305
70,715,PBGW,09:30,KKDA DN,10:36,DN,66,no,No StepBack,No StepBack,389,390
254,718,PBGW,09:30,PBGW,10:01,UP,31,yes,No StepBack,No StepBack,252,415
355,714,KKDA DN,09:34,KKDA UP,10:07,DN,33,yes,No StepBack,No StepBack,337,339
71,701,KKDA UP,09:36,PBGW,10:42,UP,66,no,No StepBack,No StepBack,313,314
255,719,PBGW,09:40,PBGW,10:12,UP,32,yes,No StepBack,No StepBack,261,424
72,716,PBGW,09:41,KKDA DN,10:47,DN,66,no,No StepBack,No StepBack,398,399
356,707,KKDA DN,09:45,KKDA UP,10:17,DN,32,yes,No StepBack,No StepBack,346,348
73,702,KKDA UP,09:46,PBGW,10:53,UP,67,no,No StepBack,No StepBack,322,323
74,717,PBGW,09:51,KKDA DN,10:57,DN,66,no,No StepBack,No StepBack,407,408
256,709,PBGW,09:51,PBGW,10:22,UP,31,yes,No StepBack,No StepBack,270,433
357,721,KKDA DN,09:55,KKDA UP,10:28,DN,33,yes,No StepBack,No StepBack,355,357
75,713,KKDA UP,09:57,PBGW,11:03,UP,66,no,No StepBack,No StepBack,331,332
76,718,PBGW,10:01,KKDA DN,11:07,DN,66,no,No StepBack,No StepBack,416,417
257,710,PBGW,10:01,PBGW,10:32,UP,31,yes,No StepBack,No StepBack,279,442
358,706,KKDA DN,10:05,KKDA UP,10:38,DN,33,yes,No StepBack,No StepBack,364,366
77,714,KKDA UP,10:07,PBGW,11:13,UP,66,no,No StepBack,No StepBack,340,341
258,711,PBGW,10:11,PBGW,10:43,UP,32,yes,No StepBack,No StepBack,288,451
78,719,PBGW,10:12,KKDA DN,11:18,DN,66,no,No StepBack,No StepBack,425,426
359,708,KKDA DN,10:16,KKDA UP,10:48,DN,32,yes,No StepBack,No StepBack,373,375
79,707,KKDA UP,10:17,PBGW,11:24,UP,67,no,No StepBack,No StepBack,349,350
259,720,PBGW,10:22,PBGW,10:53,UP,31,yes,No StepBack,No StepBack,297,460
80,709,PBGW,10:22,KKDA DN,11:28,DN,66,no,No StepBack,No StepBack,434,435
360,703,KKDA DN,10:26,KKDA UP,10:59,DN,33,yes,No StepBack,No StepBack,382,384
81,721,KKDA UP,10:28,PBGW,11:34,UP,66,no,No StepBack,No StepBack,358,359
260,712,PBGW,10:32,PBGW,11:03,UP,31,yes,No StepBack,No StepBack,306,469
82,710,PBGW,10:32,KKDA DN,11:38,DN,66,no,No StepBack,No StepBack,443,444
361,715,KKDA DN,10:36,KKDA UP,11:09,DN,33,yes,No StepBack,No StepBack,391,393
83,706,KKDA UP,10:38,PBGW,11:44,UP,66,no,No StepBack,No StepBack,367,368
261,701,PBGW,10:42,PBGW,11:14,UP,32,yes,No StepBack,No StepBack,315,478
84,711,PBGW,10:43,KKDA DN,11:49,DN,66,no,No StepBack,No StepBack,452,453
362,716,KKDA DN,10:47,KKDA UP,11:19,DN,32,yes,No StepBack,No StepBack,400,402
85,708,KKDA UP,10:48,PBGW,11:55,UP,67,no,No StepBack,No StepBack,376,377
262,702,PBGW,10:53,PBGW,11:24,UP,31,yes,No StepBack,No StepBack,324,487
86,720,PBGW,10:53,KKDA DN,11:59,DN,66,no,No StepBack,No StepBack,461,462
363,717,KKDA DN,10:57,KKDA UP,11:30,DN,33,yes,No StepBack,No StepBack,409,411
87,703,KKDA UP,10:59,PBGW,12:05,UP,66,no,No StepBack,No StepBack,385,386
263,713,PBGW,11:03,PBGW,11:34,UP,31,yes,No StepBack,No StepBack,333,496
88,712,PBGW,11:03,KKDA DN,12:09,DN,66,no,No StepBack,No StepBack,470,471
364,718,KKDA DN,11:07,KKDA UP,11:40,DN,33,yes,No StepBack,No StepBack,418,420
89,715,KKDA UP,11:09,PBGW,12:15,UP,66,no,No StepBack,No StepBack,394,395
264,714,PBGW,11:13,PBGW,11:45,UP,32,yes,No StepBack,No StepBack,342,505
90,701,PBGW,11:14,KKDA DN,12:20,DN,66,no,No StepBack,No StepBack,479,480
365,719,KKDA DN,11:18,KKDA UP,11:50,DN,32,yes,No StepBack,No StepBack,427,429
91,716,KKDA UP,11:19,PBGW,12:26,UP,67,no,No StepBack,No StepBack,403,404
265,707,PBGW,11:24,PBGW,11:55,UP,31,yes,No StepBack,No StepBack,351,514
92,702,PBGW,11:24,KKDA DN,12:30,DN,66,no,No StepBack,No StepBack,488,489
366,709,KKDA DN,11:28,KKDA UP,12:01,DN,33,yes,No StepBack,No StepBack,436,438
93,717,KKDA UP,11:30,PBGW,12:36,UP,66,no,No StepBack,No StepBack,412,413
266,721,PBGW,11:34,PBGW,12:05,UP,31,yes,No StepBack,No StepBack,360,523
94,713,PBGW,11:34,KKDA DN,12:40,DN,66,no,No StepBack,No StepBack,497,498
367,710,KKDA DN,11:38,KKDA UP,12:11,DN,33,yes,No StepBack,No StepBack,445,447
95,718,KKDA UP,11:40,PBGW,12:46,UP,66,no,No StepBack,No StepBack,421,422
267,706,PBGW,11:44,PBGW,12:16,UP,32,yes,No StepBack,No StepBack,369,532
96,714,PBGW,11:45,KKDA DN,12:51,DN,66,no,No StepBack,No StepBack,506,507
368,711,KKDA DN,11:49,KKDA UP,12:21,DN,32,yes,No StepBack,No StepBack,454,456
97,719,KKDA UP,11:50,PBGW,12:57,UP,67,no,No StepBack,No StepBack,430,431
268,708,PBGW,11:55,PBGW,12:26,UP,31,yes,No StepBack,No StepBack,378,541
98,707,PBGW,11:55,KKDA DN,13:01,DN,66,no,No StepBack,No StepBack,515,516
369,720,KKDA DN,11:59,KKDA UP,12:32,DN,33,yes,No StepBack,No StepBack,463,465
99,709,KKDA UP,12:01,PBGW,13:07,UP,66,no,No StepBack,No StepBack,439,440
100,721,PBGW,12:05,KKDA DN,13:11,DN,66,no,No StepBack,No StepBack,524,525
269,703,PBGW,12:05,PBGW,12:36,UP,31,yes,No StepBack,No StepBack,387,550
370,712,KKDA DN,12:09,KKDA UP,12:42,DN,33,yes,No StepBack,No StepBack,472,474
101,710,KKDA UP,12:11,PBGW,13:17,UP,66,no,No StepBack,No StepBack,448,449
270,715,PBGW,12:15,PBGW,12:47,UP,32,yes,No StepBack,No StepBack,396,559
102,706,PBGW,12:16,KKDA DN,13:22,DN,66,no,No StepBack,No StepBack,533,534
371,701,KKDA DN,12:20,KKDA UP,12:52,DN,32,yes,No StepBack,No StepBack,481,483
103,711,KKDA UP,12:21,PBGW,13:28,UP,67,no,No StepBack,No StepBack,457,458
104,708,PBGW,12:26,KKDA DN,13:32,DN,66,no,No StepBack,No StepBack,542,543
271,716,PBGW,12:26,PBGW,12:57,UP,31,yes,No StepBack,No StepBack,405,568
372,702,KKDA DN,12:30,KKDA UP,13:03,DN,33,yes,No StepBack,No StepBack,490,492
105,720,KKDA UP,12:32,PBGW,13:38,UP,66,no,No StepBack,No StepBack,466,467
272,717,PBGW,12:36,PBGW,13:07,UP,31,yes,No StepBack,No StepBack,414,577
106,703,PBGW,12:36,KKDA DN,13:42,DN,66,no,No StepBack,No StepBack,551,552
373,713,KKDA DN,12:40,KKDA UP,13:13,DN,33,yes,No StepBack,No StepBack,499,501
107,712,KKDA UP,12:42,PBGW,13:48,UP,66,no,No StepBack,No StepBack,475,476
273,718,PBGW,12:46,PBGW,13:18,UP,32,yes,No StepBack,No StepBack,423,586
108,715,PBGW,12:47,KKDA DN,13:53,DN,66,no,No StepBack,No StepBack,560,561
374,714,KKDA DN,12:51,KKDA UP,13:23,DN,32,yes,No StepBack,No StepBack,508,510
109,701,KKDA UP,12:52,PBGW,13:59,UP,67,no,No StepBack,No StepBack,484,485
110,716,PBGW,12:57,KKDA DN,14:03,DN,66,no,No StepBack,No StepBack,569,570
274,719,PBGW,12:57,PBGW,13:28,UP,31,yes,No StepBack,No StepBack,432,595
375,707,KKDA DN,13:01,KKDA UP,13:34,DN,33,yes,No StepBack,No StepBack,517,519
111,702,KKDA UP,13:03,PBGW,14:09,UP,66,no,No StepBack,No StepBack,493,494
112,717,PBGW,13:07,KKDA DN,14:13,DN,66,no,No StepBack,No StepBack,578,579
275,709,PBGW,13:07,PBGW,13:38,UP,31,yes,No StepBack,No StepBack,441,604
376,721,KKDA DN,13:11,KKDA UP,13:44,DN,33,yes,No StepBack,No StepBack,526,528
113,713,KKDA UP,13:13,PBGW,14:19,UP,66,no,No StepBack,No StepBack,502,503
276,710,PBGW,13:17,PBGW,13:49,UP,32,yes,No StepBack,No StepBack,450,613
114,718,PBGW,13:18,KKDA DN,14:24,DN,66,no,No StepBack,No StepBack,587,588
377,706,KKDA DN,13:22,KKDA UP,13:54,DN,32,yes,No StepBack,No StepBack,535,537
115,714,KKDA UP,13:23,PBGW,14:30,UP,67,no,No StepBack,No StepBack,511,512
277,711,PBGW,13:28,PBGW,13:59,UP,31,yes,No StepBack,No StepBack,459,622
116,719,PBGW,13:28,KKDA DN,14:34,DN,66,no,No StepBack,No StepBack,596,597
378,708,KKDA DN,13:32,KKDA UP,14:05,DN,33,yes,No StepBack,No StepBack,544,546
117,707,KKDA UP,13:34,PBGW,14:40,UP,66,no,No StepBack,No StepBack,520,521
118,709,PBGW,13:38,KKDA DN,14:44,DN,66,no,No StepBack,No StepBack,605,606
278,720,PBGW,13:38,PBGW,14:09,UP,31,yes,No StepBack,No StepBack,468,631
379,703,KKDA DN,13:42,KKDA UP,14:15,DN,33,yes,No StepBack,No StepBack,553,555
119,721,KKDA UP,13:44,PBGW,14:50,UP,66,no,No StepBack,No StepBack,529,530
279,712,PBGW,13:48,PBGW,14:20,UP,32,yes,No StepBack,No StepBack,477,640
120,710,PBGW,13:49,KKDA DN,14:55,DN,66,no,No StepBack,No StepBack,614,615
380,715,KKDA DN,13:53,KKDA UP,14:25,DN,32,yes,No StepBack,No StepBack,562,564
121,706,KKDA UP,13:54,PBGW,15:01,UP,67,no,No StepBack,No StepBack,538,539
122,711,PBGW,13:59,KKDA DN,15:05,DN,66,no,No StepBack,No StepBack,623,624
280,701,PBGW,13:59,PBGW,14:30,UP,31,yes,No StepBack,No StepBack,486,649
381,716,KKDA DN,14:03,KKDA UP,14:36,DN,33,yes,No StepBack,No StepBack,571,573
123,708,KKDA UP,14:05,PBGW,15:11,UP,66,no,No StepBack,No StepBack,547,548
124,720,PBGW,14:09,KKDA DN,15:15,DN,66,no,No StepBack,No StepBack,632,633
281,702,PBGW,14:09,PBGW,14:40,UP,31,yes,No StepBack,No StepBack,495,658
382,717,KKDA DN,14:13,KKDA UP,14:46,DN,33,yes,No StepBack,No StepBack,580,582
